       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
ADAM33 	0.056598	0.063237	0.0093394	0.0047452	0.0081573	0.011422	0.011887	0.011488	0.011743	0.011688	0.013491	0.012245	0.012097	0.011581	0.012606	0.011826	0.012819	0.011617	0.007168	0.0084092	0.0096224	0.009787	0.0079301	0.010135	0.011595	0.011582	0.0080842	0.010365	0.0084108	0.011981	0.011783	0.024333	0.011485	0.011916	0.013272	0.011891	0.012465	0.017768	0.011854	0.012091	0.011737	0.011735	0.010535	0.011936	0.010935	0.012067	0.011399	0.011665	0.011464	0.0083441	0.011465	0.011434	0.011959	0.013863	0.011753	0.01178	0.011541	0.010865	0.010567	0.0071321	0.011471	0.010713	0.0079542	0.010911	0.010732	0.0060654	0.0084092	0.011295	0.0088941	0.0072619	0.0098579	0.010301	0.01252	0.010567	0.0060654	0.01148	0.012138	0.012245	0.011427	0.011085	0.010563	0.011351                                                        
ADRB2  	0.063237	0.099322	0.0085497	0.0041408	0.0074751	0.010708	0.011515	0.010945	0.011311	0.01116	0.01368	0.011681	0.011799	0.010962	0.012398	0.011315	0.012717	0.011012	0.0064434	0.0075692	0.0088625	0.0088348	0.00689	0.0092208	0.011071	0.010496	0.0071971	0.0097396	0.0069766	0.011533	0.011202	0.029224	0.010835	0.011431	0.013244	0.011448	0.012191	0.019844	0.011378	0.011156	0.011032	0.011253	0.0097674	0.011529	0.010166	0.011615	0.010721	0.011036	0.010828	0.007421	0.010824	0.010631	0.011515	0.013545	0.011358	0.011038	0.01094	0.010015	0.009849	0.006188	0.010807	0.010055	0.0072431	0.0095491	0.0098726	0.0055113	0.0075692	0.010631	0.0080741	0.0065814	0.0091532	0.0096143	0.012233	0.0097174	0.0055113	0.010825	0.011824	0.011847	0.010793	0.010259	0.0096492	0.010691                                                  
ALOX5  	0.0093394	0.0085497	0.027649	0.0067506	0.0079511	0.011284	0.012644	0.011467	0.01191	0.011545	0.011202	0.011336	0.011977	0.010931	0.011567	0.011534	0.011566	0.01168	0.0071367	0.0098114	0.010491	0.017314	0.029902	0.01067	0.012431	0.011885	0.033822	0.010985	0.0074508	0.011489	0.011362	0.010934	0.011286	0.01177	0.010928	0.011524	0.011473	0.011271	0.011457	0.010983	0.0116	0.011621	0.01138	0.012621	0.011706	0.011601	0.011665	0.011683	0.012193	0.009049	0.01179	0.012589	0.01177	0.011634	0.011899	0.011914	0.012286	0.015282	0.017437	0.040182	0.011213	0.012274	0.0080878	0.0094306	0.01075	0.0079111	0.0098114	0.011671	0.01025	0.0070829	0.010881	0.011122	0.011244	0.010731	0.0079111	0.011908	0.011264	0.011477	0.012242	0.011253	0.010781	0.011545                                                                    
AREG   	0.0047452	0.0041408	0.0067506	0.40103	0.0047429	0.0067918	0.0075406	0.0073988	0.0095479	0.0073938	0.0065332	0.0067246	0.0092034	0.0060803	0.0072142	0.0073399	0.0071682	0.0091862	0.0041468	0.0045317	0.0055427	0.013964	0.0078761	0.0058574	0.0085273	0.0066541	0.006457	0.0059306	0.0037613	0.0075822	0.0071831	0.0063133	0.0072258	0.0085302	0.007047	0.00896	0.0073931	0.0072782	0.0083141	0.0066559	0.0074561	0.0088737	0.0062156	0.0077065	0.0065241	0.0073538	0.007045	0.007513	0.0077985	0.0053361	0.0073109	0.0074582	0.0076349	0.0072163	0.0072176	0.0069931	0.0079053	0.0081339	0.0099213	0.0061967	0.006635	0.042067	0.0049113	0.0053419	0.0067066	0.0028342	0.0045317	0.012995	0.0050609	0.0038607	0.0058954	0.0062826	0.0078076	0.0056288	0.0028342	0.0075641	0.0070887	0.0073413	0.010824	0.0070062	0.0065323	0.0071758 
ARG1   	0.0081573	0.0074751	0.0079511	0.0047429	0.058069	0.010528	0.010218	0.013123	0.012548	0.010851	0.01043	0.010735	0.010484	0.010474	0.010657	0.010655	0.010544	0.010705	0.066191	0.0072558	0.0089175	0.0084494	0.0065773	0.010066	0.010268	0.0092885	0.0067171	0.0087997	0.0062184	0.010772	0.010594	0.0098555	0.010567	0.010675	0.010922	0.012534	0.010934	0.010576	0.012174	0.01094	0.010679	0.010493	0.0089198	0.01068	0.0095898	0.01056	0.010172	0.010493	0.01023	0.007231	0.010476	0.0096943	0.010355	0.010348	0.010162	0.0098472	0.010531	0.009139	0.0092938	0.0059258	0.010375	0.0099957	0.055309	0.0085235	0.010108	0.004824	0.0072558	0.010013	0.0076867	0.066698	0.0084747	0.0089143	0.010098	0.0091167	0.004824	0.010143	0.013693	0.010724	0.010579	0.0099055	0.0096477	0.010632                                               
BCL6   	0.011422	0.010708	0.011284	0.0067918	0.010528	0.014515	0.012527	0.012706	0.012647	0.012871	0.012638	0.012879	0.012622	0.012993	0.012705	0.012861	0.012784	0.013034	0.0097016	0.010542	0.011419	0.011803	0.010242	0.01294	0.012577	0.012939	0.01021	0.011738	0.0093026	0.013031	0.013115	0.012329	0.013397	0.01291	0.01302	0.012828	0.013003	0.012734	0.012671	0.012963	0.012929	0.012873	0.012623	0.012817	0.013091	0.013065	0.012891	0.012876	0.012696	0.012224	0.012885	0.012862	0.012736	0.012747	0.012629	0.01284	0.012696	0.012331	0.012093	0.0095035	0.013313	0.012226	0.010379	0.011284	0.013775	0.0088831	0.010542	0.012925	0.010908	0.0098353	0.011512	0.011844	0.013296	0.013272	0.0088831	0.012902	0.012753	0.013159	0.012768	0.01347	0.013783	0.012944                                                                     
CCL11  	0.011887	0.011515	0.012644	0.0075406	0.010218	0.012527	0.012635	0.012434	0.012429	0.012557	0.012612	0.012588	0.012548	0.012736	0.012574	0.012594	0.012579	0.012496	0.0096093	0.013085	0.012888	0.012484	0.012528	0.012602	0.01257	0.012696	0.012751	0.012844	0.0097809	0.012508	0.012488	0.012387	0.012484	0.012512	0.012433	0.012398	0.012492	0.012407	0.012417	0.012503	0.012594	0.012505	0.013585	0.012523	0.012595	0.012529	0.012731	0.012548	0.012581	0.011066	0.012589	0.012575	0.012448	0.012468	0.012401	0.012638	0.012553	0.01257	0.012547	0.012522	0.012466	0.012136	0.010277	0.011354	0.012399	0.0083047	0.013085	0.012614	0.013025	0.0095942	0.012888	0.012802	0.012592	0.012245	0.0083047	0.012504	0.012383	0.0125	0.012511	0.012501	0.012418	0.01255                                                                     
CCL17  	0.011488	0.010945	0.011467	0.0073988	0.013123	0.012706	0.012434	0.012787	0.012582	0.012824	0.012564	0.012701	0.012482	0.013006	0.012586	0.012703	0.012652	0.012598	0.013152	0.011363	0.011855	0.011893	0.010792	0.014499	0.012428	0.012619	0.010784	0.012021	0.0098872	0.012635	0.012603	0.012266	0.012656	0.012578	0.012628	0.012578	0.012601	0.01243	0.012541	0.012672	0.012649	0.012528	0.012557	0.012521	0.012679	0.012599	0.012639	0.012559	0.012492	0.011065	0.012642	0.012512	0.012474	0.012479	0.012345	0.012582	0.012502	0.012218	0.012056	0.010213	0.012606	0.012072	0.013409	0.01145	0.012755	0.0082661	0.011363	0.012604	0.011569	0.013171	0.011885	0.012049	0.012677	0.012385	0.0082661	0.012597	0.012622	0.012606	0.012511	0.012704	0.012797	0.012796                                                                    
CCL2   	0.011743	0.011311	0.01191	0.0095479	0.012548	0.012647	0.012429	0.012582	0.012537	0.012596	0.0125	0.012624	0.012457	0.012815	0.012519	0.01261	0.012567	0.012555	0.012448	0.011359	0.011833	0.012276	0.011568	0.012804	0.012423	0.012623	0.011507	0.012	0.009898	0.012583	0.012577	0.012296	0.012607	0.012551	0.012702	0.012543	0.012585	0.012453	0.01249	0.012623	0.012612	0.012516	0.012539	0.012518	0.012651	0.012563	0.012582	0.012526	0.012476	0.011298	0.012579	0.012525	0.012448	0.012468	0.012314	0.012557	0.012487	0.01238	0.012257	0.011141	0.012572	0.012308	0.012742	0.011447	0.012683	0.0082057	0.011359	0.01273	0.011565	0.012439	0.011874	0.012035	0.012729	0.01237	0.0082057	0.012516	0.012532	0.012579	0.012527	0.012651	0.012664	0.012584                                                                              
CCL22  	0.011688	0.01116	0.011545	0.0073938	0.010851	0.012871	0.012557	0.012824	0.012596	0.01302	0.012716	0.012858	0.012604	0.013292	0.012724	0.012866	0.012817	0.012731	0.010276	0.011409	0.011913	0.01199	0.01082	0.015332	0.012545	0.012794	0.010824	0.012127	0.0099475	0.012771	0.01273	0.012433	0.012808	0.012705	0.012723	0.012608	0.012713	0.01255	0.012575	0.01278	0.01277	0.012654	0.012724	0.012626	0.01277	0.012736	0.012788	0.012689	0.012623	0.011215	0.012772	0.012673	0.012604	0.012609	0.012477	0.012744	0.012618	0.012351	0.012164	0.010212	0.012756	0.012173	0.010989	0.011519	0.012968	0.0084753	0.011409	0.012761	0.011631	0.010307	0.011978	0.012154	0.012842	0.012579	0.0084753	0.012776	0.012598	0.012736	0.012626	0.012902	0.013049	0.012993                                                                           
