       	ADAM33 	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
ADAM33 	0.17177	0.0087833	0.0041578	0.0015954	0.010783	0.013142	0.011921	0.01178	0.011864	0.012192	0.012192	0.012982	0.011445	0.013543	0.011718	0.014452	0.011305	0.0077221	0.0068667	0.0091464	0.0069865	0.0097812	0.011682	0.010044	0.0078477	0.010547	0.0095189	0.011494	0.012025	0.038294	0.010717	0.011833	0.010067	0.011763	0.011235	0.012155	0.011995	0.013976	0.013315	0.011334	0.0089183	0.011268	0.010208	0.01117	0.010904	0.012131	0.011535	0.010815	0.011914	0.012277	0.021534	0.012109	0.013035	0.011832	0.0099222	0.010162	0.0062711	0.010978	0.010398	0.0015954	0.014074	0.0088953	0.0058151	0.0024295	0.010732	0.0042876	0.01002	0.010936	0.010193	0.0099484	0.011602	0.012868	0.011286	0.011139	0.010166	0.0096346	0.011026                                                     
ALOX5  	0.0087833	0.033416	0.0062012	0.0015343	0.012211	0.013924	0.012564	0.012752	0.012489	0.012143	0.012143	0.013071	0.011409	0.012525	0.012437	0.012345	0.012568	0.010533	0.0081477	0.015092	0.016987	0.011545	0.013671	0.012947	0.043619	0.012338	0.0073683	0.012382	0.012211	0.011994	0.011961	0.012687	0.011355	0.0125	0.012204	0.012357	0.012478	0.011751	0.012174	0.01259	0.011364	0.01404	0.012773	0.01256	0.012487	0.012589	0.013264	0.012802	0.013719	0.01259	0.012212	0.013074	0.01273	0.012964	0.014921	0.020064	0.054637	0.011936	0.012291	0.0015343	0.0087643	0.010593	0.0085655	0.0033023	0.012375	0.004065	0.012303	0.012556	0.011945	0.011245	0.012985	0.012171	0.01238	0.013334	0.011591	0.011363	0.012499                                                                    
AREG   	0.0041578	0.0062012	0.40379	0.00061208	0.0073308	0.0081146	0.0082143	0.010786	0.0079177	0.0072352	0.0072352	0.010125	0.0061721	0.0078517	0.0079922	0.0075874	0.010229	0.0043678	0.0047781	0.014474	0.008147	0.0062908	0.0093221	0.006782	0.0051165	0.0063793	0.0035799	0.0082741	0.0077532	0.0069824	0.0078669	0.0093533	0.0073481	0.0099562	0.0079563	0.0083287	0.0093984	0.0072648	0.0075716	0.0098155	0.0061369	0.0084277	0.0070557	0.0080232	0.0072817	0.0081313	0.0084454	0.0077148	0.0077789	0.0081985	0.0075732	0.0078625	0.007463	0.0083109	0.0083872	0.0081922	0.0043764	0.0072755	0.046057	0.00061208	0.0044665	0.0069577	0.0030498	0.0015925	0.014222	0.0020654	0.0061599	0.0071386	0.0087431	0.0057002	0.008102	0.0078171	0.0080593	0.011985	0.0072466	0.0069796	0.00775     
ARG1   	0.0015954	0.0015343	0.00061208	0.33023	0.0034036	0.0025889	0.0027822	0.0024131	0.0022643	0.0032535	0.0032535	0.0024047	0.0017318	0.0027878	0.0023977	0.0024077	0.0028137	0.0010184	0.0012405	0.0015297	0.00095531	0.0016584	0.0025184	0.0015866	0.0011428	0.001756	0.00098049	0.0028533	0.0030462	0.0030344	0.0029872	0.0027816	0.002159	0.002811	0.0031257	0.0030379	0.0028034	0.003618	0.0033884	0.0026979	0.00154	0.00281	0.0020492	0.0025548	0.002079	0.0028087	0.0022723	0.0021473	0.002082	0.0026102	0.0028485	0.0025755	0.0022189	0.0026695	0.0016687	0.0018388	0.00085075	0.0034542	0.0020654	0.28044	0.001355	0.0018719	0.00084804	0.00033729	0.0019723	0.21717	0.0016176	0.001934	0.0021407	0.0017835	0.0022808	0.010262	0.0030676	0.0022716	0.0021595	0.001948	0.0021913      
BCL6   	0.010783	0.012211	0.0073308	0.0034036	0.017674	0.013728	0.014081	0.014063	0.014087	0.014074	0.014074	0.013927	0.013836	0.013932	0.014081	0.014	0.014411	0.010814	0.009481	0.012722	0.011104	0.014111	0.013859	0.014121	0.010925	0.012892	0.0090787	0.014316	0.014224	0.013493	0.014484	0.014127	0.0142	0.014131	0.014395	0.014215	0.013934	0.014073	0.014127	0.014168	0.013458	0.014086	0.014206	0.014537	0.014049	0.014137	0.013986	0.014135	0.013965	0.013865	0.013714	0.01394	0.014113	0.01381	0.013255	0.013057	0.009871	0.01476	0.013439	0.0034036	0.010642	0.013746	0.009681	0.004042	0.014236	0.0065369	0.012674	0.0133	0.014865	0.013471	0.014259	0.014041	0.014649	0.013994	0.014615	0.014595	0.014177                                                                          
CCL11  	0.013142	0.013924	0.0081146	0.0025889	0.013728	0.013985	0.013862	0.013804	0.013921	0.013963	0.013963	0.013824	0.014303	0.013959	0.01394	0.014027	0.013689	0.016294	0.0099926	0.012979	0.011911	0.013998	0.013824	0.013644	0.014345	0.014953	0.01002	0.013734	0.013623	0.013864	0.013582	0.01369	0.013434	0.013639	0.013679	0.013688	0.013625	0.013654	0.013686	0.013726	0.013632	0.013743	0.013728	0.013739	0.013793	0.013746	0.013774	0.013798	0.013677	0.013594	0.013552	0.013727	0.013843	0.01355	0.013304	0.013584	0.013695	0.013652	0.013216	0.0025889	0.011314	0.012832	0.0091627	0.0050291	0.013877	0.0054883	0.015163	0.014503	0.013867	0.013071	0.013749	0.013464	0.013704	0.013711	0.013557	0.013464	0.013783                                                                  
CCL17  	0.011921	0.012564	0.0082143	0.0027822	0.014081	0.013862	0.014313	0.01402	0.014462	0.014298	0.014298	0.01395	0.015012	0.014119	0.014278	0.014351	0.013953	0.012447	0.010031	0.012895	0.011548	0.01668	0.01381	0.013796	0.011778	0.013593	0.010041	0.014021	0.013869	0.013813	0.013944	0.01391	0.013798	0.013864	0.013952	0.013918	0.01383	0.013923	0.013914	0.013931	0.013406	0.013854	0.013953	0.013987	0.013953	0.013908	0.013879	0.014029	0.013773	0.013777	0.013643	0.0138	0.014009	0.013697	0.013279	0.013169	0.010774	0.013987	0.013382	0.0027822	0.011299	0.013309	0.00927	0.0048764	0.014032	0.0057463	0.013452	0.013669	0.014105	0.013321	0.01407	0.013688	0.013972	0.013854	0.014058	0.014158	0.014292                                                                          
CCL2   	0.01178	0.012752	0.010786	0.0024131	0.014063	0.013804	0.01402	0.013984	0.014091	0.014147	0.014147	0.013897	0.014562	0.013988	0.014122	0.014146	0.013941	0.012373	0.010079	0.013211	0.012068	0.014364	0.013798	0.01386	0.01203	0.013515	0.010104	0.014003	0.013901	0.01369	0.013976	0.013923	0.014194	0.013908	0.014025	0.013964	0.013803	0.013921	0.013917	0.013948	0.01352	0.013871	0.014076	0.013984	0.013902	0.013893	0.013859	0.014	0.013794	0.013754	0.01363	0.013762	0.01396	0.013688	0.013429	0.013286	0.011144	0.014034	0.013686	0.0024131	0.011363	0.013667	0.0092086	0.0049421	0.01423	0.005412	0.013393	0.013624	0.014341	0.013385	0.013941	0.013652	0.014	0.013899	0.014036	0.014003	0.013999                                                                                
CCL22  	0.011864	0.012489	0.0079177	0.0022643	0.014087	0.013921	0.014462	0.014091	0.014649	0.014418	0.014418	0.014016	0.015375	0.01422	0.014409	0.014505	0.013989	0.012336	0.009714	0.012816	0.011349	0.017497	0.013842	0.013705	0.011671	0.013605	0.0099973	0.014076	0.013895	0.013892	0.013961	0.013952	0.013794	0.013896	0.013986	0.013954	0.013868	0.013881	0.013922	0.013977	0.013414	0.013884	0.013949	0.01403	0.014004	0.013939	0.013914	0.014074	0.013776	0.013817	0.013661	0.013848	0.014054	0.013719	0.013239	0.013144	0.010588	0.013999	0.013387	0.0022643	0.01124	0.013256	0.0093298	0.0043914	0.014101	0.0052809	0.013438	0.013684	0.014168	0.013332	0.014152	0.013715	0.014008	0.013889	0.014054	0.014156	0.014422                                                                 
CCL24  	0.012192	0.012143	0.0072352	0.0032535	0.014074	0.013963	0.014298	0.014147	0.014418	0.015929	0.015017	0.014081	0.016415	0.014514	0.014792	0.015019	0.013943	0.011899	0.010166	0.012532	0.010775	0.014199	0.013793	0.013268	0.01109	0.013568	0.010255	0.0141	0.013981	0.014262	0.01387	0.013956	0.013614	0.013884	0.014006	0.013993	0.013987	0.014175	0.014057	0.013969	0.013266	0.013891	0.013934	0.013991	0.013943	0.013935	0.013865	0.014021	0.013648	0.013868	0.013738	0.013911	0.01409	0.01372	0.01298	0.012933	0.0098608	0.014051	0.013297	0.0032535	0.011441	0.012809	0.0096916	0.0049315	0.013961	0.0063235	0.013282	0.013624	0.014	0.013586	0.013961	0.013896	0.014018	0.01389	0.013829	0.013688	0.014039                                                                         
